16
12.0,1.0
15.5,13.5
6.0,2.0
5.5,5.5
12.0,9.0
2.5,3.5
14.0,1.0
0.5,9.5
14.5,3.0
14.5,4.5
10.0,4.0
1.5,3.5
13.0,5.0
14.0,10.0
13.0,3.0
6.5,14.5
14.5,8.5
3.0,7.5
5.5,11.0
8.0,11.5
14.5,6.5
7.5,12.5
6.0,8.0
9.5,8.5
15.5,3.5
1.5,4.5
15.5,7.5
1.0,5.5
9.5,7.5
11.5,5.0
1.0,8.0
10.5,7.0
6.0,12.5
2.5,4.5
3.0,15.0
8.5,3.5
13.5,13.5
2.0,11.0
4.5,1.5
8.0,2.0
5.0,3.5
11.0,12.0
10.5,15.0
10.0,2.0
3.5,10.0
4.5,2.5
8.0,15.5
9.5,13.0
10.0,5.5
11.5,2.5
0.5,11.5
10.5,8.5
8.0,4.5
3.5,13.5
2.0,2.5
10.5,13.5
6.5,6.0
11.5,7.5
8.5,10.0
14.5,13.5
0.5,4.5
15.0,12.5
4.0,12.0
4.5,9.5
2.5,13.5
7.5,3.5
14.5,15.5
1.5,1.5
5.5,4.5
8.0,6.5
15.5,10.5
8.5,0.5
8.0,13.5
12.5,15.5
4.5,8.5
7.5,14.5
15.5,2.5
0.5,0.5
0.5,13.5
1.5,0.5
1.5,6.5
1.5,13.5
2.5,0.5
2.5,5.5
2.5,12.5
3.5,0.5
3.5,3.5
3.5,4.5
3.5,5.5
4.5,0.5
4.5,5.5
4.5,6.5
4.5,13.5
5.5,9.5
5.5,13.5
6.5,9.5
6.5,10.5
8.5,7.5
8.5,8.5
8.5,14.5
9.5,6.5
9.5,9.5
9.5,11.5
12.5,6.5
12.5,11.5
12.5,13.5
12.5,14.5
13.5,6.5
13.5,11.5
14.5,11.5
15.5,0.5
15.5,1.5
15.5,4.5
15.5,11.5
15.5,14.5
